Abalphat d'Ispahan (Perse, 990-)
Heinrich Weber (Allemagne, 1842-1913)
Heinz Hopf (Allemagne, 1894-1971)
Heisuke Hironaka (Japon, 1931-)
Henri Auguste Delannoy (France, 1833-1915)
Henri Cartan (France, 1904-2008)
Henri Dulac (France, 1870-1955)
Henri-Léon Lebesgue (France, 1875-1941)
Henri Padé (France, 1863-1953)
Henry Briggs (Angleterre, 1561-1630)
Henry John Stephen Smith (Angleterre, 1826-1883)
Herbert Samuel Zuckerman (États-Unis, 1912-1970)
Hermann Günther Grassmann (Allemagne, 1809-1877)
Hermann Klaus Hugo Weyl (Allemagne, 1885-1955)
Hermann Minkowski (Allemagne, 1864-1909)
Héron d'Alexandrie (Égypte, fin du Ier siècle)
Herrmann Amandus Schwarz (Allemagne, 1843-1921)
Hilda Geiringer von Mises (Allemagne, 1893-1973)
Hipparque de Nicée (Grèce, -190--120)
Hippase de Métaponte (Grèce, milieu du Ve siècle avant J.C.)
Hippias d'Élis (Grèce, environ -460)
Hippocrate de Chios (Grèce, milieu du Ve siècle av. J.-C.)
Harold Scott MacDonald Coxeter (Angleterre, 1907-2003)
Hugo Steinhaus (Pologne, 1887-1972)
Huguette Delavault (France, 1924-2003)
Humphry Ditton (Angleterre, 1675-1715)
Hypatie d'Alexandrie (Égypte, 370-415)
Ingrid Daubechies (1954-)
Irmgard Flügge-Lotz (1903-1974)
Isaac Barrow (Angleterre, 1630-1677)
Isaac Newton (Angleterre, 1643-1727)
Issai Schur (Russie, 1875-1941)
Ivan Matveevich Vinogradov (Russie, 1891-1983)
Ivan Niven (Canada, 1915-1999)
Ivan Vidav (Slovénie, 1918-2015)
Ivar Fredholm (Suède, 1866-1927)
Ivo Lah (Slovénie, 1896-1979)
Jacopo Riccati (Italie, 1676-1754)
Jacques Aleaume (France, 1562-1627)
Jacques Bernoulli (Suisse, 1654-1705)
Jacques Hadamard (France, 1865-1963)
Jacques-Louis Lions (France, 1928-2001)
Jacques Ozanam (France, 1640-1717)
Jacques Pelletier du Mans (France, 1517-1582)
Jacques Philippe Marie Binet (France, 1786-1856)
Jacques Tits (Belgique, 1930-)
Jakob Nielsen (Danemark, 1890-1959)
Jakob Steiner (Suisse, 1796-1863)
James Cockle (Angleterre, 1819-1895)
James Gregory (Écosse, 1638-1675)
James H. Wilkinson (Angleterre, 1919-1986)
James Ivory (Écosse, 1765-1842)
James Mercer (Angleterre, 1883-1932)
James Stirling (Écosse, 1692-1770)
James Sylvester (Angleterre, 1814-1897)
Jan Lukasiewicz (Pologne, 1878-1956)
János Bolyai (Hongrie, 1802-1860)
Jean Alexandre Dieudonné (France, 1906-1992)
Jean Baptiste Joseph Fourier (France, 1768-1830)
Jean Bernoulli III (Suisse, 1744-1807)
Jean Johann Bernoulli (Suisse, 1667-1748)
Jean Bourgain (Belgique, 1954-)
Jean-Charles de Borda (France, 1733-1799)
Jean-Christophe Yoccoz (France, 1957-2016)
Jean de Beaugrand (France,1584-1640)
Jean Dominique Cassini (France, 1625-1712)
Jean le Rond d'Alembert (France, 1717-1783)
Jean-Marc Fontaine (France, 1944-)
Jean-Marie Duhamel (France, 1797-1872)
Jean-Paul de Gua de Malves (France, 1713-1785)
Jean-Pierre Serre (France, 1926-)
Jean-Robert Argand (Suisse, 1768-1822)
Jean-Victor Poncelet (France, 1788-1867)
Jérôme Cardan (Italie, 1501-1576)
Jesse Douglas (États-Unis, 1897-1965)
Jesse Douglas (États-Unis, 1897-1967)
Jessie MacWilliams (Angleterre, 1917-1990)
Johann Benedict Listing (Allemagne, 1808-1882)
Johannes Campanus de Novare (Italie, 1220-1296)
Johannes Kepler (Allemagne, 1571-1630)
Johannes Müller « Regiomontanus » von Königsberg (Allemagne, 1436-1476)
Johannes Werner (Allemagne, 1468-1528)
Johannes Widman (Allemagne, 1462-1498)
Johann Heinrich Lambert (Allemagne, 1728-1777)
Johann Heinrich Rahn (Suisse, 1622-1676)
Johann Hudde (Hollande, 1630-1704)
Johann Peter Gustav Lejeune Dirichlet (Allemagne, 1805-1859)
Johann Radon (République tchèque, 1887-1956)
John Charles Fields (Canada, 1863-1932)
John Coates (Australie, 1945-)
John Couch Adams (Royaume-Uni, 1819-1892)
John Craig (Écosse, 1663-1731)
John d'Hollywood (Angleterre, 1200-1256)
John Edensor Littlewood (Angleterre, 1885-1977)
John Forbes Nash (États-Unis, 1928-2015)
John Griggs Thompson (États-Unis, 1932-)
John H. Conway (Angleterre, 1937-)
John Lennard-Jones (Royaume-Uni, 1894-1954)
John Mair (Écosse, 1467-1550)
John Milnor (États-Unis, 1931-)
John Napier (Écosse, 1550-1617)
John Pell (Angleterre, 1610-1685)
John Speidell (Angleterre, 1600-1634)
John Tate (États-Unis, (1925-)
John Theophilus Desaguliers (Angleterre, 1683-1744)
John Venn (Royaume-Uni, 1834-1923)
John von Neumann (Hongrie, 1903-1957)
John Wallis (Angleterre, 1616-1703)
John Wilson (Angleterre, 1741-1793)
Jon Barwise (États-Unis, 1942-2000)
Jordanus Nemorarius (Allemagne, 1225-1260)
Jørgen Pedersen Gram (Danemark, 1850-1916)
Josef Wronski (Pologne, 1778-1853)
Joseph-Alphonse Adhémar (France, 1797-1862)
Joseph Diaz Gergonne (France, 1771-1859)
Joseph Henry Maclagan Wedderburn (Écosse, 1882-1948)
Joseph Liouville (France, 1809-1882)
Joseph-Louis de Lagrange (Italie, 1736-1813)
Joseph Louis Francois Bertrand (France, 1822-1900)
Joseph Wolstenholme (Angleterre, 1829-1891)
Josip Plemelj (Slovénie, 1873-1967)
Jost Bürgi (Suisse, 1552-1632)
Jules Antoine Lissajous (France, 1822-1880)
Jules-Henri Poincaré (France, 1854-1912)
Jules Richard (France, 1862-1956)
Julia Robinson (États-Unis, 1919-1985)
Julius Petersen (Danemark, 1839-1910)
Julius Plücker (Allemagne, 1801-1868)
Julius Wilhelm Richard Dedekind (Allemagne, 1831-1916)
Juliusz Schauder (Pologne, 1899-1943)
Jürgen K. Moser (Allemagne, 1928-1999)
Jurij Vega (Slovénie, 1754-1802)
Karl Georg Christian von Staudt (Allemagne, 1798-1867)
Karl Menger (Autriche, 1902-1985)
Karl Weierstrass (Allemagne, 1815-1897)
Karol Borsuk (Pologne, 1905-1982)
Kazimierz Zarankiewicz (Pologne, 1902-1959)
Kenkichi Iwasawa (Japon, 1917-1998)
Klaus Roth (Allemagne, 1925-2015)
Kristen Nygaard (Norvège, 1926-2002)
Kunihiko Kodaira (Japon, 1915-1997)
Kurt Gödel (Autriche, 1906-1978)
Kurt Hensel (Allemagne, 1861-1941)
Kurt Reidemeister (Allemagne, 1893-1971)
Ladislaus Bortkiewicz (Pologne, 1868-1931)
Lars Hörmander (Suède, 1931-2012)
Lars Valerian Ahlfors (Finlande, 1907-1996)
László Lovász (Hongrie, 1947-)
Laurent Lafforgue (France, 1966-)
Laurent Schwartz (France, 1915-2002)
Lenore Blum (États-Unis, 1942-)
Leonard Carlitz (États-Unis, 1907-1999)
Leonard Eugene Dickson (États-Unis, 1874-1954)
Léonard « Fibonacci » de Pise  (Italie, 1170-1250)
Leonardo Torres Quevedo (Espagne, 1852-1936)
Leone Battista Alberti (Italie, 1404-1472)
Leonhard Euler (Suisse, 1707-1783)
Leonid Kantorovitch (Russie, 1912-1986)
Leopold Löwenheim (Allemagne, 1878-1957)
Leopold Vietoris (Autriche, 1891-2002)
Lev Pontryagin (Russie, 1908-1988)
Lewis Fry Richardson (Angleterre, 1881-1953)
Lipót Fejér (Hongrie, 1880-1959)
Liu Hui (Chine, IIIe siècle)
Lorenzo Mascheroni (Italie, 1750-1800)
Lotfi Zadeh (Azerbaïdjan, 1921-2017)
Lothar Collatz (Allemagne, 1910-1990)
Louis Bachelier (France, 1870-1946)
Louis François Antoine Arbogast (France, 1759-1803)
Louis Poinsot (France, 1777-1859)
Luca Pacioli (Italie, 1445-1517)
Ludolph van Ceulen (Allemagne, 1540-1610)
Ludovico Ferrari (Italie, 1522-1565)
Ludwig Bieberbach (Allemagne, 1886-1982)
Luigi Bianchi (Italie,1856-1928)
Luigi Cremona (Italie, 1830-1903)
Luitzen Egbertus Jan Brouwer (Hollande, 1881-1966)
Machgielis Euwe (Hollande, 1901-1981)
Marc-Antoine Parseval (France, 1755-1836)
Marcel Bayard (France, 1895-1956)
Maria Gaetana Agnesi (Italie, 1718-1799)
Marian Rejewski (Pologne, 1905-1980)
Marie-Anne-Victoire de Prémontval (France, 1724-1767)
Marie-Charlotte de Romilley de La Chesnelaye (France, -1737)
Marie Crous (France, XVIIe siècle)
Marin Ghetaldi (Raguse,1568-1627)
Marin Mersenne (France, 1588-1648)
Mark Kac (Pologne, 1914-1984)
Marston Morse (États-Unis, 1892-1977)
Martin Davis (États-Unis, 1928-)
Mary Cartwright (Angleterre, 1900-1998)
Mary Fairfax Somerville (Royaume-Uni, 1780- 1872)
Matthew Stewart (Écosse, 1717-1785)
Maurice Bressieu (France, 1546-1617)
Maurice René Fréchet (France, 1878-1973)
Max Dehn (Allemagne, 1878-1952)
Maxim Kontsevich (Russie, 1964-)
Max Zorn (Allemagne, 1906-1993)
Ménechme (Grèce, milieu du IVe siècle avant J.C.)
Ménélaos d'Alexandrie (Égypte, 70-140)
Michael Francis Atiyah (Angleterre, 1929)
Michael Freedman (États-Unis, 1951-)
Michael Stifel (Allemagne, 1486-1567)
Michel Chasles (France, 1793-1880)
Michel Plancherel (Suisse, 1885-1967)
Michel Rolle (France, 1652-1719)
Mikhail Lavrentyev (Russie, 1900-1980)
Mikhail Vasilievich Ostrogradsky (Russie, 1801-1862)
Moritz Pasch (Allemagne,1843-1930)
Muhammad Aboûl-Wafâ (Perse, 940-998)
Nathan Jacobson (Pologne, 1910-1999)
Niccolo Fontana Tartaglia (Italie, 1499-1557)
Nicholas Metropolis (États-Unis, 1915-1999)
Nicolaï Ivanovitch Lobatchevsky (Russie, 1792-1856)
Nicolas fils Bernoulli (Suisse, 1695-1726)
Nicolas neveu Bernoulli (Suisse, 1687-1759)
Nicolas Bourbaki (1935-)
Nicolas Chuquet (France, 1445-1500)
Nicolas de Cuse (Allemagne, 1401-1464)
Nicolas d'Oresme (France, 1323-1382)
Nicole El Karoui (France, 1944-)
Nicomaque de Gerasa (Grèce, vers 200)
Nicomède (Grèce, IIe siècle av. J.-C.)
Niels Henrik Abel (Norvège, 1802-1829)
Nikolai Luzin (Russie, 1883-1950)
Nilakantha Somayaji (Inde, 1444-1544)
Nobuo Yoneda (Japon, 1930-1996)
Norbert Wiener (États-Unis, 1894-1964)
Norman Levinson (États-Unis, 1912-1975)
Œnopide de Chios (Grèce, Ve siècle av. J.-C.)
Olinde Rodrigues (France, 1794-1851)
Oliver Heaviside (Angleterre, 1850-1925)
